No.,Title,Author,Genre,Language,archive_link,cover_url,download_url
161,Hostile Homelands: The New Alliance Between India and Israel,Azad Essa & Linah Alsaafin,Politics & Law,English,,,
162,Azich Kashir Shayiri (Contemporary Kashmiri Poetry) - Anhaar Vol. 2 No. 2,Edited by Rahman Rahi,Poetry & Literature,Kashmiri,,,
163,Azik Kashri Adab (Contemporary Kashmiri Literature),Kashmir Bhasha Va Sanskriti Pratishthan,Poetry & Literature,Kashmiri,,,
164,The Wailing Vale,Aziz Beg,Fiction,English,,,
165,A Case for Solidarity Between Palestine and Kashmir,Ather Zia,Politics & Law,English,,,
166,A Contribution on Muhammadan Architecture in Kashmir,W. H. Nicholls,"Art, Culture & Archaeology",English,,,
167,A Dictionary of Kashmiri Language,George Grierson,Language & Linguistics,English,https://archive.org/details/burzahom-a-dictionary-of-kashmiri-language,https://archive.org/services/img/burzahom-a-dictionary-of-kashmiri-language,https://archive.org/download/burzahom-a-dictionary-of-kashmiri-language/burzahom-a-dictionary-of-kashmiri-language.pdf
168,A Feminist Analysis of the Coloniality of Militarization,Unknown,Academic & Research,English,,,
169,A First Look at the Language of Kundal Shahi in Azad Kashmir,Unknown,Language & Linguistics,English,,,
170,"A Long Dream of Home: The Persecution, Exile and Exodus of Kashmiri Pandits",Unknown,Human Rights & Conflict,English,https://archive.org/details/burzahom-a-long-dream-of-home-the-persecution-exile-and-exodus-of-kashmiri-pandits,https://archive.org/services/img/burzahom-a-long-dream-of-home-the-persecution-exile-and-exodus-of-kashmiri-pandits,https://archive.org/download/burzahom-a-long-dream-of-home-the-persecution-exile-and-exodus-of-kashmiri-pandits/burzahom-a-long-dream-of-home-the-persecution-exile-and-exodus-of-kashmiri-pandits.pdf
171,A Long Walk in the Himalaya,Garry Weare,Travelogue,English,,,
172,A Map of Longings: The Life and Works of Agha Shahid Ali,Manan Kapoor,Biography/Memoir,English,,,
173,"Kashmir, Cry Freedom",A. R. Minhas & Mustahsan Aqil,Politics & Law,English,,,
174,Baang (Kashmiri Poetry),Dr. Mohammad Qasim Faqtoo,Poetry & Literature,Kashmiri,,,
175,Baawur (Poetry),Qazi Hilal Dilnovi,Poetry & Literature,Urdu,,,
176,Baba-e-Qoam Shaheed Maqbool Bhat,Muhammad Hussain Altaf,Biography/Memoir,Urdu,,,
177,Badhrawah Ki Tawareekh Wa Sakafat (History and Culture of Badhrawah),Unknown,Biography/Memoir,,,,
178,Bahare Kashmir (Spring of Kashmir),Unknown,Poetry & Literature,Urdu,,,
179,Baharistan (Garden of Spring - Classic Persian Text),Jami / Unknown edition,Poetry & Literature,Persian,,,
180,Bahar-e-Gulshan-e-Kashmir Part 1 (Kashmiri Pandit Poetry in Urdu),Unknown,Poetry & Literature,Urdu,,,
181,Bahar-e-Gulshan-e-Kashmir Part 2 (Kashmiri Pandit Poetry in Urdu),Unknown,Poetry & Literature,Urdu,,,
182,Kashmir Holocaust: The Case Against India,Bahauddin Farooqi & Khalid Hasan,Human Rights & Conflict,English,,,
183,Kashmir Today Through Many Eyes,Bakhshi Ghulam Mohd,Biography/Memoir,English,,,
184,Simmering Volcano: Study of Jammu's Relations with Kashmir,Balraj Puri,Politics & Law,English,,,
185,Culture and Political History of Modern Kashmir - Volume 3,P. N. K. Bamzai,History,English,,,
186,Culture and Political History of Ancient Kashmir - Volume 1,P. N. K. Bamzai,History,English,,,
187,Culture and Political History of Medieval Kashmir - Volume 2,P. N. K. Bamzai,History,English,,,
188,Banihal (Poetry Collection),Manshoor Banhali,Poetry & Literature,Urdu,,,
189,The Last Kashmiri Rose (Detective Fiction),Barbara Cleverly,Fiction,English,,,
190,Barfeele Shoule Aur Kashmir (Icy Flames and Kashmir),Jagmohan,Biography/Memoir,Hindi,,,
191,Batwara (Partition),Anand Lehar,Fiction,Urdu,,,
192,History of Struggle for Freedom in Kashmir,Prem Nath Bazaz,History,English,,,
193,Beautiful Valleys of Kashmir,S. C. Koul,Travelogue,English,,,
194,Beautiful Flowers of Kashmir (1927),Ethelbert Blatter,Natural Sciences,English,,,
195,Beautiful Kashmir,Rinemisray Publications,Travelogue,English,,,
